#separator:tab
#html:false
Üst çenedeki en büyük diş {{c1::maksiller birinci molar}} dişidir.	Diş Morfolojisi - Maksiller Birinci Molar - Genel Özellikler	Çiğneme işlevinin en etkili olduğu diştir.
Maksiller birinci molarda {{c1::bukkolingual}} boyut, {{c1::meziodistal}} boyuttan daha fazladır.	Diş Morfolojisi - Maksiller Birinci Molar - Boyutlar	
Maksiller birinci molarda bulunan non-fonksiyonel beşinci tüberkül {{c1::Carabelli tüberkülü}} olarak adlandırılır.	Diş Morfolojisi - Maksiller Birinci Molar - Tüberküller	Dört adet gelişmiş fonksiyonel tüberküle ek olarak bulunur.
Maksiller birinci molarda bukkolingual olarak en geniş kök {{c1::meziobukkal}} köktür.	Diş Morfolojisi - Maksiller Birinci Molar - Kök Anatomisi	Toplam üç köklüdür.
Maksiller birinci moların oklüzal yüzeyi dış hatları itibarıyla kabaca {{c1::paralelkenar}} şeklindedir.	Diş Morfolojisi - Maksiller Birinci Molar - Oklüzal Anatomi	
Maksiller birinci molarda yüksekliği ve genişliği en fazla olan tüberkül {{c1::meziopalatinal (ML)}} tüberküldür.	Diş Morfolojisi - Maksiller Birinci Molar - Tüberküller	Yükseklik sırası: MP > MB > DB > DP > Carabelli.
Maksiller birinci molarda meziobukkal tüberkülün mezial eğimi, distal eğimi ile {{c1::geniş açı}} yapar.	Diş Morfolojisi - Maksiller Birinci Molar - Tüberküller	Aynı zamanda MB tüberkül, DB tüberkülden daha geniştir.
Maksiller birinci molarda kron {{c1::bukkalden linguale doğru}} genişler.	Diş Morfolojisi - Maksiller Birinci Molar - Kron Anatomisi	Maksiller 2. molarda bu durumun tam zıttı görülür.
Maksiller molarlarda primer tüberkül üçgenini {{c1::meziolingual (ML)}}, {{c1::meziobukkal (MB)}} ve {{c1::distobukkal (DB)}} tüberküller oluşturur.	Diş Morfolojisi - Maksiller Birinci Molar - Oklüzal Anatomi	
Maksiller birinci molarda meziolingual ve distobukkal tüberküller arasında oklüzal yüzeyi çapraz geçen yapıya {{c1::oblik sırt}} denir.	Diş Morfolojisi - Maksiller Birinci Molar - Oklüzal Anatomi	Transversal sırt ile karıştırmayınız (MB ve ML arasındadır).
Maksiller birinci molarda meziobukkal ve meziolingual tüberküller arasında {{c1::transversal sırt}} bulunur.	Diş Morfolojisi - Maksiller Birinci Molar - Oklüzal Anatomi	Oblik sırt ile karıştırmayınız (ML ve DB arasındadır).
Maksiller birinci molar, kapanışta alt {{c1::birinci}} ve {{c1::ikinci}} molar dişler ile temas halindedir.	Diş Morfolojisi - Maksiller Birinci Molar - Oklüzyon	
